RK,Player,Nation,pos,Squad,Age,Born,90s,cmp,Att,Cmp%,TotDis,PrgDist,cmp2,Att2,Cmp2%,cmp3,Att3,Cmp3%,cmp4,Att4,Cmp4%,Ast,xAG,xA,A-xAG,Kp,1/3,PPA,CrsPA,Prgp
320,Aihen Muñoz, ESP,DF,Real Sociedad,27-103,1997,2.5,96,132,72.7,1519,574,44,53,83.0,41,57,71.9,7,15,46.7,0,0.1,0.0,-0.1,1,10,1,1,12
321,Álex Muñoz, ESP,DF,Las Palmas,30-120,1994,10.2,464,565,82.1,7485,2600,221,245,90.2,217,259,83.8,21,40,52.5,0,0.4,0.6,-0.4,6,28,8,7,33
322,Iker Muñoz, ESP,MF,Osasuna,22-022,2002,0.9,35,48,72.9,577,176,20,22,90.9,12,16,75.0,2,4,50.0,0,0.0,0.0,0.0,0,5,0,0,2
323,Javier Muñoz, ESP,MF,Las Palmas,29-273,1995,9.2,357,448,79.7,5936,1486,182,210,86.7,129,153,84.3,34,58,58.6,1,0.8,0.7,+0.2,10,41,10,4,40
324,Vedat Muriqi, KVX,FW,Mallorca,30-217,1994,9.5,127,212,59.9,1857,460,74,99,74.7,38,73,52.1,7,13,53.8,1,0.6,0.6,+0.4,12,10,3,0,18
325,Juan Musso, ARG,GK,Atlético Madrid,30-205,1994,1.0,23,29,79.3,443,264,5,5,100.0,16,16,100.0,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Matija Nastasić, SRB,DF,Leganés,31-244,1993,8.5,264,324,81.5,5467,1850,76,85,89.4,162,184,88.0,26,54,48.1,0,0.0,0.1,0.0,0,14,0,0,22
327,Natan, BRA,DF,Betis,23-295,2001,9.1,469,529,88.7,9379,2917,143,150,95.3,276,296,93.2,47,77,61.0,0,0.5,0.7,-0.5,2,25,2,1,29
328,Pau Navarro, ESP,DF,Villarreal,19-216,2005,2.4,104,123,84.6,1894,754,42,47,89.4,54,63,85.7,7,9,77.8,0,0.0,0.0,0.0,0,3,0,0,9
329,Roberto Navarro, ESP,"MF,FW",Mallorca,22-229,2002,7.8,179,240,74.6,2492,656,111,132,84.1,55,76,72.4,7,14,50.0,0,0.5,0.4,-0.5,4,8,4,1,25
330,Jesús Navas, ESP,"FW,MF",Sevilla,39-006,1985,3.6,156,201,77.6,2555,662,85,93,91.4,51,65,78.5,16,26,61.5,0,0.4,0.5,-0.4,8,10,5,4,12
331,Yvan Neyou, CMR,MF,Leganés,27-329,1997,8.4,311,367,84.7,5020,1412,152,169,89.9,122,141,86.5,24,33,72.7,1,0.2,0.4,+0.8,3,30,2,0,35
332,Tanguy Nianzou, FRA,DF,Sevilla,22-173,2002,5.8,285,314,90.8,4654,1465,131,139,94.2,143,155,92.3,7,15,46.7,0,0.0,0.0,0.0,0,6,0,0,10
333,Saúl Ñíguez, ESP,MF,Sevilla,30-006,1994,3.6,126,157,80.3,2051,510,55,59,93.2,57,65,87.7,7,18,38.9,1,0.4,0.3,+0.6,5,14,3,0,22
334,Hugo Novoa, ESP,"DF,FW",Alavés,21-331,2003,2.5,49,63,77.8,764,245,31,39,79.5,12,14,85.7,4,4,100.0,0,0.2,0.2,-0.2,1,0,2,2,2
335,Randy Nteka, ANG,FW,Rayo Vallecano,26-357,1997,4.0,51,80,63.8,618,64,33,44,75.0,12,22,54.5,2,3,66.7,0,0.3,0.1,-0.3,4,2,1,0,4
336,Unai Núñez, ESP,DF,Athletic Club,27-302,1997,3.0,126,145,86.9,2658,1066,28,33,84.8,87,94,92.6,11,17,64.7,0,0.0,0.0,0.0,0,5,0,0,10
337,Ørjan Nyland, NOR,GK,Sevilla,34-078,1990,10.7,238,388,61.3,5896,4394,79,79,100.0,100,106,94.3,58,201,28.9,0,0.2,0.0,-0.2,2,10,1,0,1
338,Allan Nyom, CMR,"DF,FW",Getafe,36-201,1988,3.2,130,162,80.2,2162,795,65,71,91.5,54,61,88.5,10,29,34.5,1,0.3,0.2,+0.7,4,10,5,4,10
339,Jan Oblak, SVN,GK,Atlético Madrid,31-325,1993,13.0,270,341,79.2,7153,4770,54,54,100.0,135,138,97.8,80,147,54.4,0,0.0,0.0,0.0,0,2,0,0,0
340,Lucas Ocampos, ARG,FW,Sevilla,30-139,1994,1.9,65,91,71.4,1020,296,36,45,80.0,19,23,82.6,6,11,54.5,1,0.3,0.1,+0.7,3,8,2,1,7
341,Álvaro Odriozola, ESP,DF,Real Sociedad,28-349,1995,0.5,22,30,73.3,344,111,11,12,91.7,6,12,50.0,3,4,75.0,0,0.0,0.0,0.0,0,4,1,1,3
342,Olasagasti, ESP,MF,Real Sociedad,24-103,2000,0.8,29,34,85.3,439,41,16,18,88.9,13,15,86.7,,,,0,0.0,0.1,0.0,0,2,0,0,3
343,Brian Oliván, ESP,"DF,MF",Espanyol,30-240,1994,4.2,118,177,66.7,2047,849,51,56,91.1,53,74,71.6,12,36,33.3,1,0.4,0.3,+0.6,6,16,3,2,19
344,Lucas Oliveira Rosa, BRA,DF,Valladolid,24-238,2000,13.0,371,507,73.2,6152,1966,191,213,89.7,148,195,75.9,28,65,43.1,0,0.9,0.7,-0.9,8,22,4,3,30
345,Dani Olmo, ESP,"MF,FW",Barcelona,26-204,1998,4.5,153,193,79.3,2620,831,87,94,92.6,47,57,82.5,16,21,76.2,0,1.1,1.5,-1.1,5,15,9,1,29
346,Aimar Oroz, ESP,MF,Osasuna,23-000,2001,12.4,320,391,81.8,5155,1299,166,190,87.4,113,131,86.3,26,38,68.4,0,1.4,1.7,-1.4,15,29,14,0,59
347,Gabriel Osei Misehouy, NED,"FW,MF",Girona,19-132,2005,2.1,59,69,85.5,867,198,33,35,94.3,26,26,100.0,,8,0.0,0,0.3,0.3,-0.3,4,9,4,0,13
